Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2023-10-19,4.45667,4.46559,4.44134,4.4556
2023-10-20,4.45478,4.46985,4.44826,4.46275
2023-10-23,4.45783,4.46999,4.45179,4.46116
2023-10-24,4.46144,4.47012,4.45548,4.46209
2023-10-25,4.4623,4.49006,4.46049,4.47559
2023-10-26,4.47561,4.48268,4.44544,4.45612
2023-10-27,4.45639,4.47985,4.44989,4.46538
2023-10-30,4.46417,4.46776,4.44533,4.44725
2023-10-31,4.4472,4.45852,4.43858,4.45689
2023-11-01,4.45704,4.48028,4.45272,4.46838
2023-11-02,4.46841,4.47103,4.44206,4.4464
2023-11-03,4.4464,4.46384,4.43745,4.45844
2023-11-06,4.45746,4.46815,4.45113,4.45743
2023-11-07,4.45792,4.46541,4.44714,4.45856
2023-11-08,4.45867,4.47199,4.427,4.4436
2023-11-09,4.44139,4.45913,4.4229,4.43267
2023-11-10,4.43433,4.44124,4.415,4.4275
2023-11-13,4.42711,4.43764,4.42273,4.42785
2023-11-14,4.42793,4.4299,4.39557,4.39784
2023-11-15,4.39856,4.40453,4.38286,4.38964
2023-11-16,4.39001,4.40854,4.3633,4.37818
2023-11-17,4.37808,4.39385,4.36568,4.38524
2023-11-20,4.38747,4.38974,4.34725,4.35122
2023-11-21,4.35359,4.38018,4.34105,4.37133
2023-11-22,4.37121,4.38262,4.36024,4.36476
2023-11-23,4.3656,4.37534,4.35657,4.3688
2023-11-24,4.36886,4.37606,4.35761,4.36818
2023-11-27,4.36731,4.37198,4.34295,4.34958
2023-11-28,4.34934,4.3555,4.31703,4.3215
2023-11-29,4.32132,4.34697,4.31802,4.34327
2023-11-30,4.34406,4.36654,4.3334,4.35274
2023-12-01,4.35246,4.36717,4.32019,4.32312
2023-12-04,4.33099,4.34284,4.32483,4.33115
2023-12-05,4.33116,4.3359,4.31647,4.3232
2023-12-06,4.3228,4.34115,4.31874,4.32977
2023-12-07,4.32961,4.33856,4.3238,4.33176
2023-12-08,4.33179,4.33894,4.32566,4.33773
2023-12-11,4.33112,4.34409,4.32704,4.33554
2023-12-12,4.33594,4.34488,4.32598,4.32867
2023-12-13,4.32877,4.332,4.2928,4.30302
2023-12-14,4.30276,4.32347,4.29406,4.31139
2023-12-15,4.31042,4.33477,4.3038,4.33437
2023-12-18,4.32451,4.35287,4.32047,4.32372
2023-12-19,4.32353,4.34543,4.31958,4.32453
2023-12-20,4.32428,4.34834,4.32412,4.3436
2023-12-21,4.34375,4.3466,4.32509,4.33031
2023-12-22,4.32905,4.34653,4.32494,4.33601
2023-12-26,4.3397,4.34746,4.32535,4.33007
2023-12-27,4.33032,4.33683,4.31767,4.31951
2023-12-28,4.31955,4.34416,4.31955,4.33513
2023-12-29,4.33655,4.3496,4.33297,4.34371
2024-01-02,4.34377,4.37199,4.33734,4.37027
2024-01-03,4.37018,4.37459,4.3487,4.35434
2024-01-04,4.35397,4.3555,4.34141,4.34712
2024-01-05,4.34693,4.36383,4.33997,4.35146
2024-01-08,4.34713,4.35963,4.33104,4.33423
2024-01-09,4.33624,4.35235,4.3312,4.34665
2024-01-10,4.34598,4.35085,4.33514,4.33703
2024-01-11,4.33707,4.35889,4.33309,4.35231
2024-01-12,4.3527,4.36492,4.34812,4.35942
2024-01-15,4.35621,4.37789,4.35391,4.37018
2024-01-16,4.37024,4.39714,4.36982,4.39042
2024-01-17,4.39055,4.41251,4.3839,4.39394
2024-01-18,4.39414,4.41051,4.3842,4.38601
