Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-10-19,138.27,138.36,138.24,138.34,3019
2023-10-20,138.46,138.54,138.39,138.53,1855
2023-10-23,138.54,138.61,138.44,138.61,397
2023-10-24,138.64,138.71,138.64,138.66,2623
2023-10-25,138.66,138.66,138.55,138.57,237
2023-10-26,138.54,138.77,138.54,138.75,931
2023-10-27,138.78,138.87,138.78,138.87,2208
2023-10-30,139.04,139.04,138.95,139,865
2023-10-31,139.07,139.09,139,139.02,6521
2023-11-01,139.03,139.16,138.94,139.16,9901
2023-11-02,139.23,139.38,139.18,139.27,14972
2023-11-03,139.21,139.38,139.16,139.35,296
2023-11-06,139.29,139.29,139.13,139.17,3078
2023-11-07,139.16,139.28,139.13,139.27,6182
2023-11-08,139.32,139.32,139.21,139.29,1558
2023-11-09,139.3,139.3,139.22,139.28,7078
2023-11-10,139.32,139.32,139.14,139.17,18101
2023-11-13,139.19,139.23,139.15,139.18,1871
2023-11-14,139.21,139.48,139.18,139.46,1006
2023-11-15,139.57,139.57,139.41,139.44,3357
2023-11-16,139.49,139.69,139.47,139.64,219
2023-11-17,139.74,139.79,139.6,139.61,2697
2023-11-20,139.61,139.61,139.56,139.56,339
2023-11-21,139.61,139.68,139.58,139.68,333
2023-11-22,139.64,139.7,139.6,139.6,412
2023-11-23,139.61,139.63,139.52,139.52,1906
2023-11-24,139.52,139.54,139.46,139.5,288
2023-11-27,139.53,139.74,139.51,139.74,6171
2023-11-28,139.8,139.88,139.74,139.88,2875
2023-11-29,140.01,140.14,139.98,140.11,3966
2023-11-30,140.2,140.21,140.09,140.09,5717
2023-12-01,140.23,140.56,140.21,140.56,885
2023-12-04,140.48,140.6,140.43,140.49,2125
2023-12-05,140.68,140.91,140.45,140.65,175
2023-12-06,140.68,140.74,140.62,140.69,1333
2023-12-07,140.74,140.77,140.68,140.76,7846
2023-12-08,140.7,140.7,140.48,140.48,1337
2023-12-11,140.53,140.58,140.47,140.5,4202
2023-12-12,140.85,140.85,140.49,140.49,2120
2023-12-13,140.23,140.64,140.23,140.63,9061
2023-12-14,141.07,141.17,140.84,140.96,4706
2023-12-15,140.94,141.15,140.94,141.11,2115
2023-12-18,141.08,141.14,141,141.02,6209
2023-12-19,141.09,141.16,141.08,141.16,843
2023-12-20,141.25,141.34,141.25,141.26,3170
2023-12-21,141.34,141.5,141.33,141.4,54245
2023-12-22,141.39,141.67,141.39,141.53,1556
2023-12-27,141.5,141.61,141.5,141.59,1587
