Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-10-19,7540.59,7556.96,7442.7,7461.94,10277395
2023-10-20,7412.81,7421.89,7312.93,7328.67,9901848
2023-10-23,7339.08,7344.18,7287.58,7314.46,13395253
2023-10-24,7334.77,7444.04,7334.77,7398.25,14341668
2023-10-25,7453.03,7509.83,7402.3,7485.44,9245334
2023-10-26,7427.86,7518.83,7401.31,7480.29,8230304
2023-10-27,7477.85,7510.18,7417.65,7417.65,7055765
2023-10-30,7455.93,7517.62,7450.28,7508.01,6487856
2023-10-31,7504.54,7546.44,7478.34,7505.89,10461534
2023-11-02,7550.45,7583.9,7492.89,7514.09,11391120
2023-11-03,7550.72,7637.7,7525.3,7617.99,9683145
2023-11-06,7641.95,7730.79,7641.95,7686.36,7454826
2023-11-07,7660.39,7684.65,7618.31,7628.83,8417848
2023-11-08,7623.36,7642.29,7561.53,7599.73,7210466
2023-11-09,7613.38,7671.11,7583.29,7671.11,9331974
2023-11-10,7676.07,7683.14,7584.55,7598.61,5757220
2023-11-13,7622.17,7634.73,7522.96,7522.96,7708539
2023-11-14,7555.79,7795.63,7550.24,7788.06,8919626
2023-11-15,7811.61,7859.03,7739.62,7747.1,10442331
2023-11-16,7785.12,7826.22,7738.75,7800.95,8038681
2023-11-17,7808.06,7858.96,7780.43,7837.9,6961652
2023-11-20,7838.37,7935.89,7832.27,7918.44,9411519
2023-11-21,7943.94,7999.13,7921.37,7981.85,8416237
2023-11-22,7988.72,8002.64,7941.7,7999.75,6069698
2023-11-23,8021.54,8080.75,7996.64,8039.87,6460708
2023-11-24,8054.21,8099.21,8017.78,8022.63,13012321
2023-11-27,8074.12,8075.75,7931.65,8010.03,11542416
2023-11-28,8017.23,8151.97,8006.85,8151.97,11505068
2023-11-29,8148.88,8150.35,8050.29,8096.39,18043685
2023-11-30,8099.8,8153.01,8039.05,8048.14,14322613
2023-12-01,8070.19,8213.57,8048.93,8202.25,12351254
2023-12-04,8233.21,8326.76,8218.82,8264.58,8522849
2023-12-05,8274.52,8383.11,8252.68,8324.73,10091290
2023-12-06,8373.46,8394.9,8318.04,8325.85,9251245
2023-12-07,8294.86,8299.49,8200.98,8250.53,9829330
2023-12-08,8260.46,8376.04,8260.46,8337.48,6661783
2023-12-11,8357.7,8425.28,8357.7,8389.48,7984686
2023-12-12,8406.26,8418.7,8317.64,8342.02,7430577
2023-12-13,8343.98,8358.35,8268.94,8316.89,6562524
2023-12-14,8383.32,8423.83,8358.26,8375.39,10998937
2023-12-15,8380.65,8555.39,8303.26,8376.09,17086848
2023-12-18,8413.11,8499.35,8413.11,8486.76,7522691
2023-12-19,8502.56,8559.98,8470.07,8550.49,8100385
2023-12-20,8561.68,8625.89,8539.94,8557.73,8176634
2023-12-21,8538.51,8552.3,8486.69,8552.3,8246652
2023-12-22,8538.82,8546.63,8500.09,8528.86,6787222
2023-12-27,8552.35,8556.22,8496.43,8503.31,11292429
2023-12-28,8524.81,8544.66,8487.45,8501.54,6761577
2023-12-29,8504.41,8512.94,8382.64,8413.29,8201503
2024-01-02,8471.16,8489.74,8281.95,8365.21,7708094
2024-01-03,8395.11,8395.11,8193.72,8263.05,8552290
2024-01-04,8283.03,8322.3,8241.93,8314.65,6187928
2024-01-05,8298.36,8312.19,8140.42,8289.79,7576743
2024-01-08,8278.28,8384.77,8230.03,8372.93,6836622
2024-01-09,8403.34,8461.88,8394.43,8444.52,6936100
2024-01-10,8433.5,8473.21,8393.69,8418.8,4756340
2024-01-11,8402.54,8451.09,8279.91,8291.2,7754966
2024-01-12,8313.06,8339.66,8266.41,8297.17,5081394
2024-01-15,8261.32,8283.36,8168.7,8204.52,6369996
2024-01-16,8168.54,8204.3,8107.23,8204.3,5941917
2024-01-17,8196.9,8196.9,8048.86,8049.33,10846557
2024-01-18,8065.9,8192.09,8062.04,8161.86,5683270
2024-01-19,8208.14,8268.44,8194.93,8237.47,7546719
2024-01-22,8301.46,8318.54,8223.87,8278.76,4500334
2024-01-23,8299.66,8299.66,8192.51,8210.57,4417472
2024-01-24,8246.05,8287.02,8191.49,8253.46,7438425
2024-01-25,8256.06,8306.24,8238.49,8283.66,4837859
2024-01-26,8287.22,8303.25,8245.99,8303.25,7282946
2024-01-29,8301.32,8305.79,8249.26,8249.26,5177309
2024-01-30,8270.32,8385.02,8244.76,8348.36,6740763
2024-01-31,8389.28,8534.65,8389.01,8506.45,8502613
2024-02-01,8553.03,8724.13,8553.03,8686.79,9576079
2024-02-02,8711.9,8799.21,8707.19,8717,9516989
2024-02-05,8767.26,8787.06,8668.14,8668.14,7823459
2024-02-06,8694.53,8765.39,8608.61,8718.88,8225867
2024-02-07,8739.11,8747.33,8654.96,8703,4830056
2024-02-08,8700.46,8725.89,8626.72,8658.64,5565924
2024-02-09,8708.95,8708.95,8608.96,8640.24,5211552
2024-02-12,8647.43,8699.88,8601.45,8699.88,6337935
2024-02-13,8698.02,8698.02,8514.34,8572.67,7307397
2024-02-14,8590.21,8708.02,8574.39,8708.02,6702636
2024-02-15,8699.33,8738.41,8631.67,8681.66,7454845
2024-02-16,8705.53,8796.84,8690.34,8766.37,6830830
2024-02-19,8792.16,8887.89,8787.92,8887.89,5790758
2024-02-20,8905.76,8970,8900.65,8944.49,7327077
2024-02-21,8956,8963.92,8901.65,8914.06,9497116
2024-02-22,8956.74,9001.23,8921.19,8978.57,9466017
2024-02-23,8962.94,9054.22,8962.94,9002.76,11494816
2024-02-26,9018.95,9109.4,9009.23,9085.53,8657693
2024-02-27,9105.12,9137.27,9053.79,9114.08,7903230
2024-02-28,9127.61,9127.61,8977.42,9017,9261612
2024-02-29,9033.41,9107.01,9021.08,9076.33,12546064
2024-03-01,9110.55,9121.52,9027.9,9093.34,6560324
2024-03-04,9129.62,9150.73,8954.23,8954.23,11633120
2024-03-05,8971.5,9040.58,8906.54,8971.32,11382585
2024-03-06,9019.58,9089.97,8994.2,9021.54,9251050
2024-03-07,9046.4,9046.4,8938.77,9023.48,8126116
2024-03-08,9057.32,9065.34,8949.12,8992.31,5898265
2024-03-11,8927.84,8963.09,8824.14,8841.84,8066968
2024-03-12,8873.18,8968.58,8855.98,8951.29,5676059
2024-03-13,8995.5,9072.15,8962.78,9007.28,6483913
2024-03-14,9016.46,9089.61,8977.45,9004.96,9059517
2024-03-15,9009.96,9031.7,8810.87,8970.63,14998442
2024-03-18,8984.44,8984.44,8842.22,8876.73,7166301
2024-03-19,8858.24,8911.45,8743.64,8911.45,7371736
2024-03-20,8899.86,8900.41,8808.31,8841.06,4892750
2024-03-21,8902.64,9081.46,8902.64,9081.46,4756228
2024-03-22,9077.22,9126.55,9035.35,9056.33,5136923
2024-03-25,9037.96,9079.96,8983.24,9037.68,4415146
2024-03-26,9051.08,9090.17,8981.45,9086.78,4666721
2024-03-27,9094.5,9157.21,9077.46,9129.63,5368365
2024-03-28,9139.34,9220.72,9139.34,9203.62,9378663
2024-04-02,9220.42,9406.75,9220.42,9308.47,12424721
2024-04-03,9322.77,9365.74,9270.98,9301.47,7805673
2024-04-04,9324.86,9419.35,9306.34,9387.95,10027621
2024-04-05,9355.73,9355.73,9232.6,9256.34,8894526
2024-04-08,9269.16,9337.07,9269.16,9314.23,6812437
2024-04-09,9325.4,9350.97,9183.3,9183.3,9473105
2024-04-10,9188.67,9241.17,9146.79,9213.11,19220390
2024-04-11,9222.14,9250.41,9110.31,9115.95,17444407
2024-04-12,9185.96,9234.7,9072.24,9072.24,10168859
2024-04-15,9128.2,9211.38,9110.12,9142.07,9838032
2024-04-16,9111.84,9164.13,8917.54,8944.35,9039765
2024-04-17,9004.73,9063.29,8955.2,9035.01,7262236
2024-04-18,9067.09,9100.76,8980.15,9090.29,10041227
2024-04-19,9053.76,9083.88,9013.79,9060.67,12233700
2024-04-22,9065.19,9137.61,9057.54,9117.66,10587743
2024-04-23,9147.43,9216.01,9111.35,9185.98,11961800
2024-04-24,9221.94,9230.25,9127.68,9151.89,12230136
2024-04-25,9149.47,9155.02,9051.76,9111.26,8827641
2024-04-26,9123.16,9173.86,9101.68,9153.83,12169543
2024-04-29,9172.99,9262.42,9147.95,9257.3,14436761
2024-04-30,9269.11,9278.06,9198.81,9247.42,10731961
2024-05-02,9263.69,9285.18,9210.99,9213.5,7054004
2024-05-06,9269.33,9385.68,9221.08,9370.58,15785105
2024-05-07,9386.39,9500.38,9386.39,9434.42,27281808
2024-05-08,9458.78,9496.94,9400.65,9469.75,12739855
2024-05-09,9500.21,9566.58,9492.98,9512.85,17652283
2024-05-10,9522.68,9636.61,9522.68,9550.51,24368327
2024-05-13,9583.29,9676.84,9572.13,9672.83,17175356
2024-05-14,9682.9,9718.58,9646.05,9718.58,19002162
2024-05-15,9715.01,9744.33,9646.04,9733.8,16092698
2024-05-16,9753.7,9788.3,9734.54,9762.53,14212356
2024-05-17,9770.38,9781.74,9699.73,9765.23,8539009
2024-05-20,9793.73,9901.22,9789.81,9860.14,21696257
2024-05-21,9851.36,9875.4,9798.32,9822.11,11274235
2024-05-22,9809.26,9837.52,9733.68,9808.86,9850764
2024-05-23,9821.8,9891.42,9758.42,9856.9,9947936
2024-05-24,9855.55,9855.55,9786.28,9833.41,5586934
2024-05-27,9861.3,9904.7,9814.32,9814.32,4558591
