Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2023-10-19,4.22975,4.2381,4.1951,4.21035
2023-10-20,4.21025,4.22633,4.2014,4.21317
2023-10-23,4.20705,4.21979,4.1783,4.1817
2023-10-24,4.18185,4.21965,4.17005,4.2125
2023-10-25,4.21342,4.245,4.20737,4.23516
2023-10-26,4.23518,4.25505,4.21445,4.2193
2023-10-27,4.21955,4.25065,4.21041,4.22434
2023-10-30,4.227,4.23075,4.18735,4.19074
2023-10-31,4.19069,4.2223,4.16233,4.2128
2023-11-01,4.21275,4.2526,4.2114,4.22406
2023-11-02,4.22401,4.22421,4.1698,4.18785
2023-11-03,4.18785,4.1983,4.14075,4.1545
2023-11-06,4.1568,4.16313,4.14075,4.15747
2023-11-07,4.15785,4.18245,4.1556,4.16735
2023-11-08,4.1671,4.18981,4.14055,4.1498
2023-11-09,4.14812,4.17105,4.129,4.15437
2023-11-10,4.15589,4.16455,4.13108,4.14362
2023-11-13,4.1436,4.1547,4.13345,4.13841
2023-11-14,4.13841,4.14235,4.03905,4.0441
2023-11-15,4.04425,4.06405,4.03022,4.0459
2023-11-16,4.04613,4.0692,4.00705,4.03385
2023-11-17,4.0338,4.0421,4.01935,4.0201
2023-11-20,4.0215,4.02715,3.9728,3.9767
2023-11-21,3.97839,4.01235,3.96125,4.00625
2023-11-22,4.0065,4.0312,3.99555,4.0093
2023-11-23,4.01025,4.013,3.99144,4.00565
2023-11-24,4.00567,4.01565,3.9854,3.9911
2023-11-27,3.988,3.99883,3.96435,3.97059
2023-11-28,3.9703,3.98124,3.92345,3.93085
2023-11-29,3.93055,3.96335,3.9216,3.9585
2023-11-30,3.95933,4.00784,3.952,3.99635
2023-12-01,3.99595,4.0101,3.96706,3.97364
2023-12-04,3.98015,4.014,3.97589,3.9973
2023-12-05,3.99745,4.0129,3.9828,4.00385
2023-12-06,4.00348,4.02756,3.99845,4.02085
2023-12-07,4.0207,4.02825,4.00585,4.01335
2023-12-08,4.01315,4.04195,4.01121,4.03
2023-12-11,4.02417,4.03679,4.015,4.02752
2023-12-12,4.02793,4.03165,4.0059,4.00944
2023-12-13,4.00931,4.01835,3.94645,3.95575
2023-12-14,3.95565,3.9584,3.91732,3.92223
2023-12-15,3.92128,3.97846,3.91647,3.97846
2023-12-18,3.96885,3.99008,3.95517,3.95851
2023-12-19,3.95848,3.9672,3.93634,3.93723
2023-12-20,3.93707,3.97628,3.93707,3.96908
2023-12-21,3.96889,3.97434,3.92862,3.93375
2023-12-22,3.93239,3.94868,3.92487,3.93728
2023-12-26,3.93968,3.94796,3.91697,3.92164
2023-12-27,3.92175,3.92798,3.88673,3.88935
2023-12-28,3.88942,3.92349,3.88487,3.91884
2023-12-29,3.91994,3.93713,3.91295,3.93417
2024-01-02,3.93325,3.9955,3.931,3.99425
2024-01-03,3.99395,4.0052,3.9782,3.98695
2024-01-04,3.98606,3.98872,3.96055,3.97085
2024-01-05,3.97085,4.0054,3.94865,3.97775
2024-01-08,3.9712,3.9886,3.9453,3.95795
2024-01-09,3.95935,3.9813,3.95135,3.97717
2024-01-10,3.9766,3.9818,3.95149,3.9526
2024-01-11,3.9526,3.98645,3.94522,3.96646
2024-01-12,3.96681,3.99005,3.9596,3.9807
2024-01-15,3.97825,4.00125,3.97305,3.99115
2024-01-16,3.99102,4.04361,3.99045,4.0365
2024-01-17,4.03696,4.06479,4.03025,4.03785
2024-01-18,4.03758,4.061,4.03115,4.03345
2024-01-19,4.03349,4.04195,3.99485,3.9956
2024-01-22,3.999,4.01033,3.98589,4.0098
2024-01-23,4.00816,4.05869,3.99045,4.0452
2024-01-24,4.04555,4.04567,3.99851,4.0239
2024-01-25,4.02545,4.04335,4.01415,4.03229
2024-01-26,4.03269,4.04885,4.01586,4.025
2024-01-29,4.0286,4.04959,4.0218,4.0307
2024-01-30,4.03023,4.0439,4.0074,4.0125
2024-01-31,4.01295,4.02915,3.9789,4.00355
2024-02-01,4.0035,4.02392,3.96605,3.96935
2024-02-02,3.96929,4.01515,3.95585,3.99842
2024-02-05,4.00321,4.05255,4.0015,4.0402
2024-02-06,4.0401,4.0595,4.024,4.045
2024-02-07,4.04351,4.04571,4.02625,4.0303
2024-02-08,4.03039,4.0396,4.00335,4.0153
2024-02-09,4.01432,4.019,3.9978,4.01077
2024-02-12,4.01015,4.01995,3.99615,3.99988
2024-02-13,3.9988,4.0559,3.9988,4.04553
2024-02-14,4.04675,4.0673,4.04355,4.04702
2024-02-15,4.04584,4.05165,4.02605,4.03115
2024-02-16,4.0316,4.05035,4.01985,4.02755
2024-02-19,4.02285,4.0295,4.0124,4.0141
2024-02-20,4.01425,4.02135,3.98625,3.9933
